ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
116,Manambahkan jasper ojol dan jasper konvensional,Wordpress,"Rp 500,000 - 1,000,000",3,"Menambahkan fitur jasa pengiriman instant untuk wil jabodetabek dan jasper konvensional jne, lion parcel ke website woocommerce.",,,,,,,,,,,,,,,,,,,,
117,Dibutuhkan Data Collector Mencari Data Bengkel Mobil Jakarta Barat & Pusat,Data Entry,"Rp 150,000 - 300,000",7,"Dibutuhkan Data Collector Mencari Data Bengkel Mobil Jakarta Barat & Pusat. Data yg dibutuhkan adalah sebagai berikut 1. merek, harga & biaya pemasangan untuk blind spot monitoring 2. merek, harga & biaya camera 360 3. merek, harga & biaya sensor depan mobil dilengkapi juga nama bengkel, share loc google map dan no WA yg bisa dihubungi total bengkel 10 untuk semua tempat list bengkel harus difilter sebelumnya dengan rating bagus di google atau review bagus dari customer mobil yg akan dipasang adalah brio 2019 data yang dibuat berupa file excel",,,,,,,,,,,,,,,,,,,,
118,Pembuatan Website Landing Page Dinamis Company Profile,Search Engine Optimization (SEO),"Rp 2,000,000 - 3,500,000",15,"Dear freelencer, saya sedang membutuhkan frontend developer untuk membuatkan sebuah landing page dinamis untuk perusahaan agency periklanan.. Untuk desain sudah di sediakan.. Silahkan lampirkan portofolio terbaiknya.. Terimakasih",,,,,,,,,,,,,,,,,,,,
119,Menginstall Windows 10 VMWare Fusion di Mac,Virtual Box,"Rp 500,000 - 750,000",10,Saya butuh orang yang bisa menginstall windows 10 pada Mac,,,,,,,,,,,,,,,,,,,,
120,Pembuatan Mobile Apps berbasis Java,Android,"Rp 5,000,000 - 10,000,000",120,"Project ini adalah aplikasi untuk pengguna kendaraan listrik untuk pengisian energi. Yang dikerjakan pada project ini adalah pembuatan backend. Mobile apps berbasis Java, dengan framework Spring boot. Lebih spesifik dari pekerjaan ini adalah membutuhkan deployment programmer untuk menangani pasca instalasi program supaya lebih reliabel, salah satunya adalah setting SSL, khususnya didalam environment Docker.",,,,,,,,,,,,,,,,,,,,
121,Mengembangkan coding atau fungsi python,Python,"Rp 250,000 - 500,000",7,"Hallo, sya membutuhkan freelancer untuk mengembangkan sebuah bot yang sudah jadi.. kemungkinan 70%... bot nya pake python yaitu menargetkan sebuah situs.. namun ad beberapa kendala kecil dan ingin di kembangkan..",,,,,,,,,,,,,,,,,,,,
122,Membuat aplikasi pencatatan keuangan sekolah (PHP Laravel),Web Programming,"Rp 3,000,000 - 5,000,000",30,"Kami sedang mencari seorang programmer berpengalaman dalam pengembangan aplikasi menggunakan framework Laravel untuk proyek pencatatan keuangan sekolah. Tugas utama programmer ini akan menjadi bagian penting dalam pengembangan aplikasi yang akan membantu sekolah dalam mencatat dan mengelola keuangan dengan lebih efisien. Anda akan bertanggung jawab untuk mengembangkan fitur-fitur utama dari aplikasi pencatatan keuangan sekolah. Kualifikasi yang kami cari termasuk memiliki pemahaman yang kuat tentang bahasa pemrograman PHP dan pengalaman dalam pengembangan aplikasi menggunakan framework Laravel juga memiliki keterampilan analitis yang baik untuk memahami kebutuhan pengguna dan merancang solusi yang sesuai. Anda juga harus memiliki pengetahuan yang baik tentang basis data dan dapat mengelola interaksi dengan database. Jika Anda memiliki keahlian ini dan tertarik untuk menjadi bagian dari proyek ini, kami sangat ingin mendengar lebih lanjut tentang pengalaman dan kualifikasi Anda. Kirimkan resume dan portofolio Anda kepada kami, serta sertakan deskripsi singkat mengenai proyek-proyek sebelumnya yang relevan. Fitur-fitur yang di develop antara lain :Module data siswaModule pembayaranLaporan pembayaran Note :  Diutamakan yang full freelance",,,,,,,,,,,,,,,,,,,,
123,Butuh programmer website untuk integrasi API (PHP Laravel),Web Programming,"Rp 500,000 - 1,500,000",14,"Saya membutuhkan progammer untuk membuat website admin yg berfungsi untuk mengambil dan mengolah beberapa data dr API, fitur nya hanya mengambil data list, lalu di proses manual secara offline, jika sudah selesai akan update status dan di upload kembali ke pengirim API tsb. Diaplikasi ini nanti kemungkinan tidak ada database, semuanya dari penyedia API, website ini nanti hanya akan read & update saja",,,,,,,,,,,,,,,,,,,,
124,Publisher Wikipedia,Social Media Marketing (SMM),"Rp 200,000 - 300,000",30,"dibutuhkan publisher wikipedia yang bisa buat bantuin untuk tokoh publik dan untuk informasi perusahaan, silahkan bid dan infokan ke saya penawaran Anda",,,,,,,,,,,,,,,,,,,,
125,Desain 3D arsitektur menggunakan AI,3D Architecture,"Rp 700,000 - 1,000,000",7,Menggambarkan city dan mountain view yang akan saya beri foto n video aslinya. Kenapa AI biar yang kilat jadinya.,,,,,,,,,,,,,,,,,,,,
126,"3 artikel sejarah kota Malang @1k kata, lengkap detail dengan images pendukung (minimal 5)",Content Writer,"Rp 50,000 - 100,000",3,"3 artikel sejarah kota Malang @1,000 kata, lengkap detail dengan images pendukung (minimal 5) syarat penulispunya skill pengetahuan & passion di sejarah kota malangbisa tulis dgn tatanan SEO dgn benar (heading dll), lengkap dgn images (minimal 5) per artikel100% oritopik bisa berdasarkan specific lokasi, event/ kejadian, dllSilahkan berikan 3 ide topic/ keyword u/ ditarget yg km mau tulis & alasan/ pertimbangan singkat per masing2 topic. Yang cocok bs u/ jangka panjang.",,,,,,,,,,,,,,,,,,,,
127,bot dari python di convert ke web / app,Web Programming,"Rp 500,000 - 1,000,000",7,"hallo, saya memiliki bot phyton dan sudah bekerja dengan baik di pc/kmptr/laptop, namun skrng saya mau di gunakan di web/app supaya bisa di gunakan tanpa harus memiliki laptop/kmptr. info lebih detail onbid intinya menjadikan bot python pc ke android/web/app",,,,,,,,,,,,,,,,,,,,
128,Menerjemahkan Kata Kata Bahasa Inggris ke Bahasa Indonesia,Translation,"Rp 100,000 - 200,000",7,Menerjemahkan kata kata bahasa inggris ke bahasa indonesiaTotal 600 kata. Lampirkan portofolio yang pernah anda kerjakan. Di utamakan yang pernah Menerjemahkan aplikasi dan website.,,,,,,,,,,,,,,,,,,,,
129,Woocommerce Fix,Wordpress,"Rp 300,000 - 600,000",14,"Hi Freelancer,Bantu fix bug woocommerce dan juga tambahan untuk internasional shipping.Pengerjaan via teamviewer atau anydesk. Ditunggu secepatnya.Thanks",,,,,,,,,,,,,,,,,,,,
130,Memperbaiki File Google Sheet,Microsoft Excel ,"Rp 50,000 - 90,000",3,selamat siangfile Google Sheet saya tidak berjalan dengan semestinya: ada function yg tidak tereksekusi dan blok-blok juga sel yg miss. saya mencari freelancer yg berpengalaman dalam Google Sheet.silakan bid bagi yg mampu/berpengalaman sajaNB: file Sheet merupakan jadwal mapel pengajar untuk tingkat SDterima kasih banyak,,,,,,,,,,,,,,,,,,,,
131,Retopology hasil 3D scan,3D Modelling,"Rp 150,000 - 250,000",1,melakukan retopo middle poly untuk sebuah produk dari hasil 3d Scan seperti gambar contoh dibawah. coba 1 produk dahulu. hasil retopo verts kisaran 8k - 15k,,,,,,,,,,,,,,,,,,,,
132,publish journal untuk sinta 3,Google Cloud Developer ,"Rp 500,000 - 1,000,000",30,dicari yg bisa publish journal sinta 3bahan journal sudah siap. tinggal siap publish saja saya terima beres saya terima bukti publish ya ( bukan bukti review ) atau bisa juga pake journal yg sudah ada dari mu ( minjam ) deadline agustus 2023,,,,,,,,,,,,,,,,,,,,
133,JASA PENULISAN ARTIKEL KEBUTUHAN SEO WEB,Search Engine Optimization (SEO),"Rp 500,000 - 700,000",3,"Saya membutuhkan jasa penulisan artikel SEO berkualitas dengan keyword artikel :Jasa Event OrganizerJasa brandingAdvertisingDigital Printing Percetakan Kontraktor Booth .per kategori masing 2 artikel dan per artikel minimal 300 kata , Artikel di harapkan ariginal menarik , SEO oriented , tidak mengandung sara dan politik ,Artikel bisa di sertakan gambar . mohon ketika pegakuan di sertakan timeline terimakasih",,,,,,,,,,,,,,,,,,,,
134,butuh aplikasi untuk mengacak kata,App Innovation,"Rp 1,000,000 - 1,500,000",7,saya membutuhkan aplikasi yang bisa mengacak kata berupa huruf dan angka dan bisa dicopy,,,,,,,,,,,,,,,,,,,,
135,Design logo kuliner pisang toping dan minuman,Graphic Design,"Rp 200,000 - 250,000",3,1. Membuat logo Pisang Toping dengan brand Fresh Cemara 2.Membuat Logo Minuman Kekinian dengan Brand Fresh Cemara 3. Pengerjaan 1-3 hari dengan budget sesuai bid yah.. Lampirkan juga porpolio design logo anda lebih bagus yang sudah pengalaman di logo kuliner.. Kalau bisa jangan pakai template logo,,,,,,,,,,,,,,,,,,,,
136,Penyusunan ANDALALIN,AutoCAD GIS ,"Rp 1,000,000 - 2,000,000",14,Kami membutuhkan anggota tim yang dapat membantu penyusunan dokumen ANDALALIN.. Syarat: memiliki Sertifikat Penyusun ANDALALIN dari Kemenhub,,,,,,,,,,,,,,,,,,,,
137,MEMBUAT WEB UJIAN ONLINE SEDERHANA,Web Programming,"Rp 200,000 - 400,000",7,"Membuat web ujian online sederhana, tampilannya saya pingin seperti pada gambar, untuk penambahan soal hanya pada isi php saja tidak perlu dibuatkan menu khusus ( jadi soal ada didalam php alias permanen ) - Tampilannya mirip dengan gambar atau silahkan buat bebas saja  - buatkan 5 soal saja pilihan ganda ( soal bebas nanti saya coba ubah ubah sendiri - untuk form login get data user dari database peserta ujian kolom databasenya hanya username dan password saja  - ada batas waktu, ketka waktu habis tetep kirim ke database ( batas wajtu settingnya juga di dalem php langsung gpp ) - buatkan juga 2 database , 1 untuk total nilai benar , 1 untuk cek jawaban apa yg dia pilih ( A atau B atau C atau D atau E ) Jadi total databasenya ada 3 ( login , jawaban benar , jawaban apa yg dipilih )",,,,,,,,,,,,,,,,,,,,
138,Expert Facebook Ads,Social Media Marketing (SMM),"Rp 1,500,000 - 3,000,000",10,"Halo workers,saya sedang mencari orang yang bisa mengiklankan di FB, IG (meta) untuk ecommerceDiharapkan yang sudah ada experience dropship, ecommerce. (testing, Manage, Optimize, scaling)Silahkan cantumkan portofolionya.Terima kasih",,,,,,,,,,,,,,,,,,,,
139,Bikin 1 Video Promosi,Video Editing,"Rp 100,001 - 500,000",7,"Dicari content creator untuk membuat 1 video promosi di Tiktok dan IG. Video akan digunakan untuk mempromosikan situs properti1.com Durasi video sekitar 15-30 detik Isi video menarik, tidak membosankan di 5 detik pertama.",,,,,,,,,,,,,,,,,,,,
140,Joki Test Matemamika (Probabilistik dan Statistik),Statistical Analysis,"Rp 100,001 - 200,000",7,"Hello Worker, I need help to answer Probabilistic and Statistic test on Friday June 2, 2023 from 13.00 WIB until 14.30 WIB, the question will be in English. I attach the question here. you can read it it try to solve and send it to me if you are able to answer the question I will choose you to help me on Friday. the question is about 7-10 question and I need 8-9 correct answer. please send me your bids. Thank You",,,,,,,,,,,,,,,,,,,,
141,Properti Surveyor Surabaya,Personal Assistant,"Rp 250,000 - 500,000",1,"Saya mencari satu orang freelancer basis di Surabaya Kota yang dapat membantu saya untuk survei lokasi tanah / rumah yang saya ingin survei (untuk dibeli & dihuni sendiri), mencari informasi owner, dan mengerti tentang konstruksi bangunan. Pembayaran per properti yang diobservasi, silahkan offer angka per propertiInformasikan nama, usia, kendaraan, lokasi tinggal di SurabayaTerima kasih",,,,,,,,,,,,,,,,,,,,
142,NEED TRAINER EXPERT REACT JS AREA SURABAYA,Web Programming,"Rp 3,000,000 - 10,000,00",7,"Sedang mencari seorang ahli React Js & Next Js yang dapat memberikan pelatihan untuk 1 tim di perusahaan dengan fee yang bisa dibicarakan. Lokasi yang dicari adalah di Surabaya dan sekitarnya. Materi yang dibutuhkan mencakup:dasar-dasar React dan penerapannya penerapan API (CRUD) pembuatan modern UI dengan Next Js menggunakan Material UI/Chakra UI/Tailwind CSS serta penggunaan GET API. Jika Anda adalah ahli di bidang ini dan tertarik untuk membantu, silakan hubungi kami dengan rincian lebih lanjut tentang pengalaman dan kualifikasi Anda.Sertakan Portofolio dan trainer wajib datang ke kantorTerima kasih.",,,,,,,,,,,,,,,,,,,,
143,LAPORAN LKPM,Administrative Support,"Rp 1,000,000 - 3,000,000",14,Dibutuhkan seseorang yang dapat saya beri kuasa unuk melakukan Pelaporan LKPM. Dan problem solver berkaitan kendala birokrasi perizinan. Open Diskusi terlebih dahulu dan negotiable.,,,,,,,,,,,,,,,,,,,,
144,Dicari Akun Canva Contributor Elemen,Graphic Design,"Rp 1,000,000 - 2,500,000",20,"Yang punya akun canva contributor grafik elemen yang tidak terawat atau mau dijual, saya siap nampung",,,,,,,,,,,,,,,,,,,,
145,Set Up Campaign Google Ads,Google Adsense,"Rp 350,000 - 500,000",7,"Saya membutuhkan worker yang berpengalaman untuk melakukan set up awal campaign Google ads. Campaign yang akan dijalankan adalah search ads, dan remarketing. - Set up GA4, tracking goals - Riset keyword, kompetitor - Optimasi bidding - Penulisan ad copy - ReportingDiutamakan domisili Jakarta / Tangerang. Sertakan portofolio, nomer WA dan link profil linkedin Anda saat melakukan bid.",,,,,,,,,,,,,,,,,,,,
146,Akun Canva Creator Tamplate,Graphic Design,"Rp 1,000,000 - 2,000,000",7,Yang punya akun canva creator Tamplate tidak dipakai atau tidak terawat atau mau dijual boleh ditawarkan. penawaran dengan screenshot akunya.,,,,,,,,,,,,,,,,,,,,
147,Dicari cara mengatasi PIN AdSense ga datang,Google Adsense,"Rp 150,000 - 200,000",2,"Saya sudah mengirimkan pin AdSense 12 April 2023 ke alamat saya, tpi samapai skrg pin tersebut tidak datang  Siapa tau disini ada yg bisa membantu 🙏",,,,,,,,,,,,,,,,,,,,
148,Membantu membuat daftar pustaka,Business Consultation,"Rp 300,000 - 1,000,000",7,Saya perlu dibantu membuat daftar pustaka...untuk skripsi...,,,,,,,,,,,,,,,,,,,,
149,PENGAJAR DESIGN GRAFIS (PHOTOSHOP/CANVA DLL),Adobe PhotoShop,"Rp 4,000,000 - 7,000,000",30,"saya membutuhkan freelancer yang terbiasa mengajar DESIGN GRAFIS mengajar 5 hari dalam seminggu (senin - jumat)   1 hari 3 sesi  mengajar, sbb :   09.00 - 12.00   13.00 - 15.00   17.00 - 20.30   rutin setiap hari hanya untuk yang bisa fulltime  kontrak selama project berlangsung.   Syarat : Pengalaman di bidang mengajar DESIGN GRAFIS Pengalaman mengelola DESIGN GRAFIS praktisi  Punya Akun Linkedin dan Mau di update  Punya Srtifikat mengenai DESIGN GRAFIS atau yg relevan",,,,,,,,,,,,,,,,,,,,
150,Memperbaiki File Google Sheet,Microsoft Excel,"Rp 50,000 - 90,000li",3,selamat siang file Google Sheet saya tidak berjalan dengan semestinya: ada function yg tidak tereksekusi dan blok-blok juga sel yg miss. saya mencari freelancer yg berpengalaman dalam Google Sheet. silakan bid bagi yg mampu/berpengalaman sajaNB: file Sheet merupakan jadwal mapel pengajar untuk tingkat SD. terima kasih banyak,,,,,,,,,,,,,,,,,,,,
151,publish journal untuk sinta 3,Google Cloud Developer,"Rp 500,000 - 1,000,000",30,dicari yg bisa publish journal sinta 3 bahan journal sudah siap. tinggal siap publish saja saya terima beres saya terima bukti publish ya ( bukan bukti review ) atau bisa juga pake journal yg sudah ada dari mu ( minjam ) deadline agustus 2023,,,,,,,,,,,,,,,,,,,,
152,Pembuatan Dokumen Perancangan Aplikasi,Web Programming,"Rp 500,000 - 1,000,000",3,Saya membutuhkan worker untuk membuat dokumen perencanaan pembuatan aplikasi atau BRDHarap worker yang sudah berpengalaman dan terbiasa membuatnya yang melakukan bidding.,,,,,,,,,,,,,,,,,,,,
153,Pembuatan Data sekoloah,Microsoft Excel,"Rp 150,000 - 200,000",3,"Buatkan Rencana Kegiatan dan Anggaran Sekolah ( RKAS ) Pusat Kegiatan Belajar Masyarakat ( PKBM ), Paket A, Paket  B ,dan Paket C",,,,,,,,,,,,,,,,,,,,
154,Pembuatan BRD - Analisis Bisnis,Business Analysis,"Rp 500,000 - 750,000",7,"Dicari ahli analisis bisnis yang berpengalaman dalam pembuatan BRD Pekerjaan:Menganalisis kebutuhan bisnis dengan seksama melalui interaksi dengan stakeholder dan pemilik bisnis. Menggunakan kemampuan dalam Lucidchart/Confluence/ untuk membuat diagram alur proses, diagram use case, dan visualisasi lainnya yang diperlukan dalam BRD. Juga sebagai alat kolaborasi tim untuk membuat dan mengelola dokumentasi proyek secara efisien. dan kemampuan menggunakan Sketch untuk membuat tampilan antarmuka pengguna yang menarik dan prototipe interaktif yang mendukung BRD. Kualifikasi yang Dibutuhkan:Pengalaman yang relevan sebagai analis bisnis dengan keahlian dalam pembuatan BRD.Pemahaman yang kuat tentang analisis bisnis, pemodelan proses, dan praktik terbaik dalam dokumentasi persyaratan.Kemampuan komunikasi yang baik untuk berinteraksi dengan stakeholder dan tim pengembangan perangkat lunak. Pemahaman dan kemampuan dalam menggunakan sistem manajemen dokumen online seperti Lucidchart, Confluence, dan Sketch.Kemampuan analitis yang tinggi, pemecahan masalah, dan pemikiran kritis untuk mengidentifikasi persyaratan bisnis yang sebenarnya. Terima kasih atas minat Anda dalam proyek ini. Kami sangat berharap dapat bekerja sama untuk mencapai tujuan proyek yang sukses.",,,,,,,,,,,,,,,,,,,,
155,Script Carousell Instagram Bertema Agrobisnis,Content Writer,"Rp 450,000 - 450,000",14,"Hai semuanya,Saya membutuhkan pembuat script yang digunakan untuk sosial media instagram dengan tema agrobisnis (Peternakan, perikanan, pertanian).1 Script terdiri dari :1 Judul4-8 Isi1 penutup CTASaya membutuhkan 30 script dengan tema agrobisnis (Peternakan, perikanan, pertanian).Bagi yang berminat silakan lampirkan portfolio yang Ada ya.",,,,,,,,,,,,,,,,,,,,
156,Membantu membuat skripsi,Business Analysis,"Rp 300,000 - 600,000",7,saya perlu dibantu buat skripsi bab pembahasan 2 bab,,,,,,,,,,,,,,,,,,,,
157,Export Unity Project ke webGL,Unity,"Rp 350,000 - 390,000",1,"Bantu export saja ke webGL, sudah saya upload kan ke gdrive tolong bantu export ke webGL saja",,,,,,,,,,,,,,,,,,,,
158,Operator Live Streaming,Video Editing,"Rp 750,000 - 1,000,000",2,Butuh Operator Live Streaming untuk tanggal 19 Juni.Required:Mengerti Whole Live Streaming World. (Dari kamera sampai cara menggunakan aplikasi live streaming)Webinar output microsoft TeamsHanya membutuhkan 1 orang operator untuk mengoperasikan aplikasi dan lead a teamAplikasi live Streaming menggunakan OBSPunya Komputer untuk live streaming lebih baikStudio di Jakarta. Jadi sudah pasti mencari yang domisilinya di JKTHari kerja: 2 hari. 1 hari GR dan 1 Hari HSilahkan Apply. Terima kasih,,,,,,,,,,,,,,,,,,,,
159,BIMBINGAN PEMBUATAN THESIS S2,Statistical Analysis,"Rp 2,000,000 - 2,500,000",20,"Halo Gan, Saya sedang mencari bimbingan penelitian di bidang pendidikan anak usia dini bagian psikologi dengan topik self-regulation learning (SRL) yang hasilnya akan saya jadian karya ilmiah. dengan rincian sebagai berikut :Minimal Master degree , pernah mengerjakan thesis dan menguasai kualitatifBerpengalaman dengan psikologi anak Menguasai Self-regulated learning theoryPembuatan thesis dengan Bahasa Inggris dengan baik Memperkuat teori dan siap revisi chapter 1, 2, dan 3.Membuat analisa data dan conclusionAPA 7 StyleTurnitin dibawah 28Komunikasi dengan saya agar dapat ikut terlibat (Zoom/Webex) minimal 3 hari sekaliNo plagiarism contentJika ada yg berminat dan ingin brief lebih jelasnya bisa kontak saya via wa di 08xxxxxxxxxx7Admin Note:Dilarang mencantumkan ataupun meminta kontak pribadi pada Deskripsi Project ataupun pada link yang Anda cantumkan. Semua komunikasi harus dilakukan melalui fasilitas yang sudah disediakan projects.co.id. Saat ini fasilitas komunikasi diprojects.co.id sudah sangat memadai, silahkan gunakan fasilitas yang ada.",,,,,,,,,,,,,,,,,,,,
160,Dicari Akun Google Adsense Indonesia Non Hosted untuk Web,Google Adsense,"Rp 750,000 - 3,500,000",99,Dicari Akun Google Adsense Indonesia Non Hosted Lamakalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2.untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/Pin atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.,,,,,,,,,,,,,,,,,,,,
161,"PROJECT Ke-57: Mohon berikan saya ide jualan sebagai distributor gula skala kecil, menengah atau besar.",Social Media Marketing (SMM),"Rp 500,000 - 850,000",14,"PROJECTKe-57: Mohon berikan saya ide jualan sebagai distributor gula skala kecil,menengah atau besar.Latarbelakang saya adalah anak dari seorang distributorjuragan gula yang dulu cukup besar. Kami biasa mengambil produk tersebutlangsung dari pabrik. Tetapi sekarang kami sangat kalah bersaing dengandistributor - distributor besar yang baru muncul. Dan bahkan kami sudah tidak punya gudang dan toko lagi.Saya ingin mengulang kembali kejayaan bisnis keluarga ini.Mohon beri saya step by step ide jualanuntuk mengembangkan usaha ini kembali dengan tempat dan dana minim yang saya miliki.Saya sudah ada rumah yang ukurannyaterbatas sebagai tempat stok barang, HPdan laptop untuk mendukungpenjualan. Jika ada peluang bisnis lain yang menurut anda lebih baik, bisa di infokanbarang /product apa yang akan dijual,  dari mana ambil produknya, estimasimodal, dan juga estimasi berapa keuntungan, setelah project di acc.Terimakasih.Salam hormat",,,,,,,,,,,,,,,,,,,,
162,Dibeli Akun Google Adsense untuk Website,Google Adsense,"Rp 1,000,000 - 5,000,000",30,"Dicari untuk dibeli, Akun Google Adsense untuk website, sudah PIN, PIN + PO, atau freshTulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/PIN atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.Terimakasih",,,,,,,,,,,,,,,,,,,,
163,Script Video Tiktok Bertema Agrobisnis,Content Writer,"Rp 400,000 - 400,000",7,"Saya mencari freelance,dengan tugas untuk membuat script konten video bertema agrobisnis.Dengan kriteria script :Script storytelling (bercerita)Durasi script 60detikScript terdiri dari (Headline, isi, CTA)Silakan lampiran portfolio yang dimiliki tertaik script storytelling. Jika tidak memiliki, silakan buatkan contohnya terlebih dahulu.Untuk awal saya akan mencoba 25 script seharga Rp 300.000",,,,,,,,,,,,,,,,,,,,
164,Butuh Akun Google Adsense Indonesia Non Hosted Berumur,Google Adsense,"Rp 2,500,000 - 5,000,000",99,Dicari Akun Google Adsense Indonesia Non Hosted Lamakalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2.untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/Pin atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas,,,,,,,,,,,,,,,,,,,,
165,Cari Akun Canva Creator Template,Graphic Design,"Rp 1,000,000 - 4,000,000",5,"Yang punya akun canva creator template yg ngangur/tidak terpakai boleh tawarkan, harga bisa dibicarakan.Akun yg ada tulisan seperti ini.",,,,,,,,,,,,,,,,,,,,
166,Dicari content writer untuk artikel IT,Content Writer,"Rp 1,500,000 - 2,000,000",30,"Sesuai dengan judul, saya sedang mencari seorang content writer untuk tema khusus dalam bidang IT. jumlah kata minimum di 500. saya mencari content writer  yang berpengalaman dan dapat menulis artikel yg berkualitas dan detail. juga tolong lampirkan contoh artikel anda (jika ada artikel yg berbahasa inggris akan sangat baik). terima kasihharga yg tercantum adalah utk kisaran 8 artikel/bulan (2 artikel/minggu)",,,,,,,,,,,,,,,,,,,,
167,Dicari Jurnalis Untuk Media Sepakbola,Content Writer,"Rp 700,000 - 750,000",30,"Dicari jurnalis untuk media sepakbola, mampu menulis 5 berita sehari selama 30 hari , setiap berita minimal 300 kata.Fokus Berita adalah sepakbola Indonesia",,,,,,,,,,,,,,,,,,,,
168,saya membutuhkan penulis untuk artikel zodiac,Writing,"Rp 200,000 - 200,001",10,"Silahkan disebutan pada Bids apakah sudah pernah membuat tulisan bertemakan zodiak dan memiliki pemahaman maupun ketertarikan dalam membahas zodiak sebagai kelebihan dari penulis. Saya membutuhkan tulisan zodaik sebanyak 10 tulisan sebanyak 400 kataTulisan santai serta mudah dibaca dan dimengerti. Tidak menerima copas atau spin, jika ketawan project dibatalkan, wajib unique 100%.budget Rp200.000waktu pengerjaan 10-14 hari.Contohnya:Zodiac ariesHari ini aries lagi kurang percaya diri. Dia merasa hidupnya paling menderita dan merasa kurang. Tenang saja, tidak perlu khawatir, kamu pasti bisa melaluinya. Kamu lagi kurang sehat makanya pikiranmu jadi kacau. Tetap semangat! Lakukan yang kamu suka agar mood kamu kembali ceriaBisa mengikuti instruksi dan syarat yang saya berikan, mau merevisi jika dibutuhkan.",,,,,,,,,,,,,,,,,,,,
169,Dicari Penulis Artikel yang Bisa Memposting di Media Berita Terkenal,Content Writer,"Rp 1,500,000 - 1,500,000",7,"Halo, kami mencari penulis artikel yang dapat membantu kami memposting artikel di media-media berita terkenal. Semakin banyak media yang bisa Anda bantu posting, maka semakin tinggi fee yang akan didapatkan. Berikut budget yang kami sediakan untuk publishing pada 3-4 media berita.Job Desk:Mempublish atau memposting artikel dari kami (tentang company news update) di media berita berikut:Liputan6TribunnewsDetikCNNKompasChannelIndonesiaJabodetabekTempoKapanlagiAtau media lain yang cukup ternama seperti Kumparan, Marketeers, dll.Catatan:Lampirkan link artikel atau portofolio yang pernah Anda buat di media berita untuk menjadi bahan pertimbangan.Mohon infokan jangka waktu yang dibutuhkan untuk berhasil memposting artikel tersebut dalam bid.Terima kasih.",,,,,,,,,,,,,,,,,,,,
170,Penulis Artikel Jurnal Ter index Scopus/WOS/Sinta ( khusu yang berpengalaman),Data Analysis,"Rp 500,000 - 1,500,000",7,"( mohon yang tidak ada pengalaman menulis artikel Q1-4  tidak melamar)  Dibutuhkan freelance untuk menulis artikel penelitian berbahasa Inggris dengan lingkup topik seputar pendidikan, Pengetahuan Umum, penulis akan diminta menulis dengan topik Pengetahuan Umum, Literature Review    Total Artikel 5 buah         Jumlah kata +/- 3500 kata per artikel. *Jumlah Referensi Min 30        Pernah menulis atau paham Menulis di dalam jurnal Ter index Scopus        Artikel kredibel, informatif dan valid.         Batas waktu pengerjaan 15 hari (di luar revisi).        NO COPY PASTE (jika dilanggar, akan langsung diajukan arbitrase).         Tidak boleh hasil dari Google Translate dan sejenisnya.  ,         Penulis wajib bisa berbahasa Inggris yang baik dan benar serta paham     grammar, tenses, atau hal-hal lainnya yg berkaitan dengan topik bahasa Inggris.        Struktur tulisan baik, rapi dan tidak hanya berisi paragraf saja. Misalnya menggunakan penambahan tools (bullet, bold, heading, dsb.) dan gambar bila dibutuhkan.         Menggunakan template artikel. Misalnya membuat tag artikel, membuat meta description yang unik dan menarik, memasukkan internal link/backlink, memilih kategori yang paling sesuai.         Jika tulisan cocok maka akan ada kemungkinan hire berulang.         Topik dan judul akan diberikan secara berkala setelah acc bid.         Semua artikel yang ditulis adalah tanggung jawab penulis. Jadi pastikan memberikan informasi yang valid.         Pekerjaan akan di anggap selesai jika telah diterima oleh jurnal tujuan dan setelah selesai proses perbaikan artikel.",,,,,,,,,,,,,,,,,,,,
171,PENGAJAR MS WORD (FULLTIME REMOTE),Microsoft Word,"Rp 4,000,000 - 6,000,000",30,"saya membutuhkan tutor/dosen/pengajar/guru yang bisa berkomitmen waktu dan tenaga secara fulltime, senin - jumat. sehari ngajar 3 sesi :09.00 - 12.0013.00 - 16.0017.00 - 20.00syarat : terbiasa ngajar online zoommenguasai aplikasi ms wordmemiliki izasah minimal SMKpunya waktu luang dan tidak terikat pekerjaan lainmemiliki linkedin dan bersedia untuk di update.",,,,,,,,,,,,,,,,,,,,
